source,name,address,rating,reviews,info
2GIS,Remcom,"Тұран даңғылы, 55/6, Астана",4.2,66 баға,Строительный магазин ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Qural Prokat,,4.8,174 баға,"Компания по аренде и продаже электроинструментов Төле би көшесі, 25/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,Dos_stroy,,,,Құрылыс материалдары Астана Құрылыс материалдары · Жеткізу
2GIS,СтройМаг,,3.3,49 баға,"Магазин по продаже строительных материалов Е-67 көше, 8, Астана Құрылыс материалдары"
2GIS,Стройхоз маркет,"Бұқар жырау көшесі, 31, Астана",4,50 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,SemStroi,"Көше Е-36, 11, Астана",5,59 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары
2GIS,Шаңырақ,"Әбубәкір Тыныбаев көшесі, 10, Астана",4.5,27 баға,Строительный магазин ​​3 филиал Құрылыс материалдары Құрылыс заттарының барлық түрлері! Жарнама Қоңырау шалу
2GIS,Mix Stroy,"Сығанақ көшесі, 28, Астана",5,54 баға,Құрылыс дүкені ​​2 филиал Құрылыс материалдары
2GIS,Stroy Market,"Е 900 көшесі, 2, Астана",4.7,109 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары
2GIS,Уют,"Ахмет Байтұрсынұлы көшесі, 39/1, Астана",4.8,466 баға,Құрылыс дүкені ​​2 филиал Құрылыс материалдары
2GIS,Строймарт,,4,400 баға,"Құрылыс және әрлеу материалдары дүкені Абай даңғылы, 7, Астана Құрылыс материалдары"
2GIS,Зайсан,,4.9,28 баға,"Строительный магазин Е 900 көшесі, 8, Астана Құрылыс материалдары"
2GIS,Мастер Ок,,4.6,153 баға,"Магазин строительных и хозяйственных товаров Әл-Фараби даңғылы, 27, Астана Құрылыс материалдары"
2GIS,Строймакс,,4.7,85 баға,"Строительный магазин Қазыбек би көшесі, 9/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,Стройхоз маркет,"Қасым Қайсенов көшесі, 6, Астана",4.4,138 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары
2GIS,Proficenter,,3.2,6 баға,"Мультибрендовый интерьерный салон Қайым Мұхамедханов көшесі, 4/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,Aiva stroy,,,,Магазин стройматериалов Астана Құрылыс материалдары · Жеткізу Шілдеде ашылады
2GIS,Макита,"Қорғалжын тас жолы, 25а, Астана",4.6,295 баға,Электр құрал-саймандар мен құрылыс жабдықтары дүкені ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Строитель,,,,"Құрылыс материалдары Төле би көшесі, 22, Астана Құрылыс материалдары"
2GIS,Все для дома и семьи,,4.4,75 баға,"Көпсалалы дүкен Әл-Фараби даңғылы, 40/2, Астана Құрылыс материалдары"
2GIS,Mix Stroy,"Тұрар Рысқұлов көшесі, 9а, Астана",4.8,217 баға,Құрылыс дүкені ​​2 филиал Құрылыс материалдары
2GIS,Дос,,4.6,63 баға,"Строительный магазин Көше Е-36, 11, Астана Құрылыс материалдары"
2GIS,ЕрСтрой,,5,5 баға,"Құрылыс материалдары Төле би көшесі, 24, Астана Құрылыс материалдары"
2GIS,Строй Маркет,,5,21 баға,"Құрылыс материалдары Сығанақ көшесі, 32, Астана Құрылыс материалдары · Жеткізу"
2GIS,Remont X,,5,12 баға,"Магазин строительных материалов Е 900 көшесі, 8, Астана Құрылыс материалдары · Жеткізу"
2GIS,Алтынжулдыз Астана,,,,"Құрылыс материалдары Тұран даңғылы, 41/1, Астана Құрылыс материалдары 39 минуттан кейін жабылады"
2GIS,Мир инструментов,,5,225 баға,"Дүкен Бауыржан Момышұлы даңғылы, 10/2, Астана Құрылыс материалдары · Жеткізу"
2GIS,Hilti,"Мәңгілік Ел даңғылы, 66/1, Астана",4.8,62 баға,Кеңсе ​​2 филиал Құрылыс материалдары 39 минуттан кейін жабылады
2GIS,Все до лампочки,,4.6,316 баға,"Дүкен Мәлік Ғабдуллин көшесі, 10/1, Астана Құрылыс материалдары"
2GIS,BolatQurylys,,4.5,58 баға,"Строительный магазин Тұран даңғылы, 67, Астана Құрылыс материалдары · Жеткізу"
2GIS,Макита,"Александр Пушкин көшесі, 15Б, Астана",4.6,228 баға,Электр құрал-саймандар мен құрылыс жабдықтары дүкені ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,78_stroimag,"Көше Е-36, 6, Астана",4.7,221 баға,Құрылыс дүкені ​​4 филиал Құрылыс материалдары
2GIS,Prostroy,,4.7,44 баға,"Құрылыс материалдары Ұлы Дала даңғылы, 28 стр, Астана Құрылыс материалдары · Жеткізу"
2GIS,Mastermag,,5,613 баға,"Құрылыс материалдары дүкені Құмкент көшесі, 42, Астана Құрылыс материалдары · Жеткізу"
2GIS,Арна,,4.9,136 баға,"Үйге арналған тауарлар дүкені Бауыржан Момышұлы даңғылы, 17, Астана Құрылыс материалдары Жабық"
2GIS,Usta,"Манхеттен 2 ТҮК, Әнет баба көшесі, 11/1, Астана",4.6,322 баға,Строительный магазин ​​4 филиал Құрылыс материалдары
2GIS,Mega Trade Astana,"Жаңа өзен тұйық көшесі, 7, Астана",3.7,68 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Замочник,,4.3,228 баға,"Құрылыс материалдары Кравцов көшесі, 6, Астана Құрылыс материалдары"
2GIS,78_stroimag,"Мухаммед Али Джинна көшесі, 9а, Астана",4.9,142 баға,Құрылыс дүкені ​​4 филиал Құрылыс материалдары
2GIS,Кокшестрой,"Тәуелсіздік даңғылы, 25/2, Астана",5,14 баға,Строительный магазин ​​2 филиал Құрылыс материалдары
2GIS,Құрылыс материалдар орталығы,,4.8,195 баға,"Құрылыс материалдары Шарбақты көшесі, 15, Астана Құрылыс материалдары · Жеткізу"
2GIS,Sat Stroy,,,,"Строительный магазин Төле би көшесі, 57, Астана Құрылыс материалдары · Жеткізу"
2GIS,Кокше строй,"Тұрар Рысқұлов көшесі, 9а, Астана",4.8,61 баға,Магазин строительных товаров ​​8 филиал Құрылыс материалдары
2GIS,СтройДекор,"Толстой түйығы, 5, Астана",4.9,572 баға,Өңдеу материалдар дүкені ​​3 филиал Құрылыс материалдары · Жеткізу
2GIS,SemStroi,"Көше Е-36, 6, Астана",4.9,134 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Stroihoz,,4.7,42 баға,"Строительно-хозяйственный магазин Мәңгілік Ел даңғылы, 54, Астана Құрылыс материалдары"
2GIS,Хозяин,,4.6,222 баға,"Құрылыс дүкені Қайым Мұхамедханов көшесі, 21/2, Астана Құрылыс материалдары · Жеткізу"
2GIS,MAXСтрой,"Төле би көшесі, 22, Астана",4.8,33 баға,Құрылыс материалдары ​​3 филиал Құрылыс материалдары Жарнама WhatsApp-қа жазу
2GIS,StroyBro,,4.3,71 баға,"Құрылыс материалдары дүкені Көше Е-36, 11, Астана Құрылыс материалдары"
2GIS,Строймаркет,"Manhattan-4 ТҮК, Әйтеке би көшесі, 14, Астана",4.6,160 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары
2GIS,Usta,"Әлихан Бөкейхан көшесі, 25а, Астана",3.9,235 баға,Строительный магазин ​​4 филиал Құрылыс материалдары
2GIS,1001 мелочей,,4.8,73 баға,"Құрылыс материалдары Шәмші Қалдаяқов көшесі, 26, Астана Құрылыс материалдары"
2GIS,Кокше строй,"Мухаммед Али Джинна көшесі, 16, Астана",3.6,22 баға,Магазин строительных товаров ​​8 филиал Құрылыс материалдары · Жеткізу
2GIS,01stroy,"Көше Е-36, 6, Астана",2.9,12 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары
2GIS,Қалан,,4.4,48 баға,"Строительный магазин Е-899 көшесі, 1, Астана Құрылыс материалдары"
2GIS,Дельта,,4.8,92 баға,"Магазин стройматериалов Күлтегін көшесі, 19, Астана Құрылыс материалдары · Жеткізу"
2GIS,Нур,,4.7,676 баға,"Құрылыс материалдар базары Астана-Қарағанды трассасы, 1, Астана Құрылыс материалдары · Жеткізу"
2GIS,MasterOkey,,4.7,108 баға,"Жөндеуге арналған тауарлар дүкені Таха Хусейн көшесі, 6/2, Астана Құрылыс материалдары Жабық"
